Data;Descrição;Valor;;Banco;;Tipo de Despesa;;Mês;Ano;Dia;Grupo de Dias;Gasto Excessivo
25/04/2023;Farmacia;R$ 7,10;SAUDE;Bradesco;A vista;Variável;Willian;abril;2023;terça-feira;Dias Úteis;Dentro da Média
25/04/2023;Uber *Uber *Trip Sao Paulo Br;R$ 22,94;TRANSPORTE;Neon;Crédito;Variável;Willian;abril;2023;terça-feira;Dias Úteis;Dentro da Média
25/04/2023;Uber *Uber *Trip Sao Paulo Br;R$ 8,91;TRANSPORTE;Neon;Crédito;Variável;Willian;abril;2023;terça-feira;Dias Úteis;Dentro da Média
27/04/2023;Uber *Uber *Trip Sao Paulo Br;R$ 9,90;TRANSPORTE;Neon;Crédito;Variável;Willian;abril;2023;quinta-feira;Dias Úteis;Dentro da Média
28/04/2023;Uber;R$ 14,97;TRANSPORTE;Bradesco;A vista;Variável;Willian;abril;2023;sexta-feira;Final de Semana;Dentro da Média
29/04/2023;Steam Purchase;R$ 2,92;GAMES;Neon;Crédito;Variável;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
29/04/2023;PIX enviado para Alex Rodrigues Cesar;R$ 20,00;COMPRAS;Neon;A vista;Variável;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
29/04/2023;PIX enviado para Jhon Anderson Dos Santos Lima;R$ 9,00;PET;Neon;A vista;Variável;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
29/04/2023;Uber *Uber *Trip Sao Paulo Br;R$ 11,92;TRANSPORTE;Neon;Crédito;Variável;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
30/04/2023;Steam Purchase;R$ 38,75;GAMES;Neon;Crédito;Variável;Willian;abril;2023;domingo;Final de Semana;Acima da Média
01/05/2023;Ec*Nivel6;R$ 14,99;ASSINATURAS;Nubank;Crédito;Fixa;Willian;maio;2023;segunda-feira;Dias Úteis;Dentro da Média
01/05/2023;Uber *Uber *Trip Sao Paulo Br;R$ 17,98;TRANSPORTE;Neon;Crédito;Variável;Willian;maio;2023;segunda-feira;Dias Úteis;Dentro da Média
01/05/2023;Uber *Uber *Trip Sao Paulo Br;R$ 34,90;TRANSPORTE;Neon;Crédito;Variável;Willian;maio;2023;segunda-feira;Dias Úteis;Acima da Média
02/05/2023;Panificadora;R$ 19,46;ALIMENTACAO;Bradesco;A vista;Variável;Willian;maio;2023;terça-feira;Dias Úteis;Dentro da Média
02/05/2023;Sal e Brasa;R$ 162,30;LAZER;Bradesco;A vista;Variável;Willian;maio;2023;terça-feira;Dias Úteis;Acima da Média
04/05/2023;Cristiano;R$ 5,00;ALIMENTACAO;Bradesco;A vista;Variável;Willian;maio;2023;quinta-feira;Dias Úteis;Dentro da Média
04/05/2023;Ifood;R$ 22,64;ALIMENTACAO;Bradesco;A vista;Variável;Willian;maio;2023;quinta-feira;Dias Úteis;Dentro da Média
